Product ID,Type,Failure Type,Torque _Nm_,Tool wear _min_,Air temperature _K_,Process temperature _K_,Rotational speed _rpm_,risk_score,risk_classification,highest_wear_machine,avg_air_Temp,avg_process_temp,avg_rotational_speed,total_tool_wear,avg_torque,highest_failure_per_product_id,worst_machine_types
H39412,H,No Failure,48.5,25,299.0,308.7,1408,0,Low Risk,25,299.0,308.7,1408.0,25,48.5,8674,1
H39410,H,No Failure,31.8,17,298.9,308.4,1632,1,Low Risk,17,298.9,308.4,1632.0,17,31.8,8675,2
H39399,H,No Failure,35.6,202,298.7,308.5,1572,1,Low Risk,202,298.7,308.5,1572.0,202,35.6,8676,3
H39398,H,No Failure,42.8,197,298.7,308.4,1432,1,Low Risk,197,298.7,308.4,1432.0,197,42.8,8677,4
H39392,H,No Failure,52.1,181,298.6,308.3,1377,2,Medium Risk,181,298.6,308.3,1377.0,181,52.1,8678,5
H39385,H,No Failure,44.6,163,298.5,308.2,1563,1,Low Risk,163,298.5,308.2,1563.0,163,44.6,8679,6
H39384,H,No Failure,24.7,158,298.4,308.1,1891,2,Low Risk,158,298.4,308.1,1891.0,158,24.7,8680,7
H39353,H,No Failure,12.8,84,298.3,308.1,2636,1,Low Risk,84,298.3,308.1,2636.0,84,12.8,8681,8
H39350,H,No Failure,33.2,75,298.3,308.2,1534,0,Low Risk,75,298.3,308.2,1534.0,75,33.2,8682,9
H39343,H,No Failure,39.2,58,298.4,308.4,1479,0,Low Risk,58,298.4,308.4,1479.0,58,39.2,8683,10
H39336,H,No Failure,39.1,36,298.6,308.8,1566,0,Low Risk,36,298.6,308.8,1566.0,36,39.1,8684,11
H39334,H,No Failure,43.9,28,298.5,308.7,1450,0,Low Risk,28,298.5,308.7,1450.0,28,43.9,8685,12
H39316,H,No Failure,45.3,190,298.7,309.3,1402,1,Low Risk,190,298.7,309.3,1402.0,190,45.3,8686,13
H39314,H,No Failure,42.3,182,298.7,309.2,1449,1,Low Risk,182,298.7,309.2,1449.0,182,42.3,8687,14
H39306,H,No Failure,48.6,161,298.9,309.7,1407,1,Low Risk,161,298.9,309.7,1407.0,161,48.6,8688,15
H39303,H,No Failure,40.2,152,298.8,309.6,1516,1,Low Risk,152,298.8,309.6,1516.0,152,40.2,8689,16
H39297,H,No Failure,34.3,136,298.7,309.6,1654,1,Low Risk,136,298.7,309.6,1654.0,136,34.3,8690,17
H39290,H,No Failure,55.1,118,298.8,309.7,1461,1,Low Risk,118,298.8,309.7,1461.0,118,55.1,8691,18
H39284,H,No Failure,25.6,100,299.0,309.9,1884,1,Low Risk,100,299.0,309.9,1884.0,100,25.6,8692,19
H39274,H,No Failure,26.9,73,298.7,309.6,1755,1,Low Risk,73,298.7,309.6,1755.0,73,26.9,8693,20
H39268,H,No Failure,45.3,56,298.6,309.4,1362,0,Low Risk,56,298.6,309.4,1362.0,56,45.3,8694,21
H39262,H,No Failure,40.6,39,298.5,309.2,1568,0,Low Risk,39,298.5,309.2,1568.0,39,40.6,8695,22
H39258,H,No Failure,37.0,28,298.3,309.1,1484,0,Low Risk,28,298.3,309.1,1484.0,28,37.0,8696,23
H39254,H,No Failure,42.4,16,298.3,309.2,1486,0,Low Risk,16,298.3,309.2,1486.0,16,42.4,8697,24
H39228,H,No Failure,40.9,162,298.3,309.1,1430,1,Low Risk,162,298.3,309.1,1430.0,162,40.9,8698,25
H39216,H,No Failure,19.2,132,298.4,309.3,1984,1,Low Risk,132,298.4,309.3,1984.0,132,19.2,8699,26
H39214,H,No Failure,50.3,124,298.5,309.3,1421,1,Low Risk,124,298.5,309.3,1421.0,124,50.3,8700,27
H39210,H,No Failure,30.9,111,298.4,309.3,1694,1,Low Risk,111,298.4,309.3,1694.0,111,30.9,8701,28
H39207,H,No Failure,46.7,102,298.5,309.4,1414,0,Low Risk,102,298.5,309.4,1414.0,102,46.7,8702,29
H39206,H,No Failure,36.0,97,298.5,309.4,1573,0,Low Risk,97,298.5,309.4,1573.0,97,36.0,8703,30
H39201,H,No Failure,50.4,82,298.6,309.5,1420,1,Low Risk,82,298.6,309.5,1420.0,82,50.4,8704,31
H39199,H,No Failure,29.8,74,298.7,309.7,1697,1,Low Risk,74,298.7,309.7,1697.0,74,29.8,8705,32
H39197,H,No Failure,44.6,66,298.8,309.9,1466,0,Low Risk,66,298.8,309.9,1466.0,66,44.6,8706,33
H39192,H,No Failure,54.5,52,298.7,309.7,1311,1,Low Risk,52,298.7,309.7,1311.0,52,54.5,8707,34
H39188,H,No Failure,41.0,39,298.6,309.5,1375,0,Low Risk,39,298.6,309.5,1375.0,39,41.0,8708,35
H39184,H,No Failure,31.8,27,298.6,309.5,1584,0,Low Risk,27,298.6,309.5,1584.0,27,31.8,8709,36
H39180,H,No Failure,42.5,16,298.6,309.6,1449,0,Low Risk,16,298.6,309.6,1449.0,16,42.5,8710,37
H39169,H,No Failure,35.3,208,298.5,309.7,1561,1,Low Risk,208,298.5,309.7,1561.0,208,35.3,8711,38
H39163,H,No Failure,45.4,192,298.8,310.1,1483,1,Low Risk,192,298.8,310.1,1483.0,192,45.4,8712,39
H39148,H,No Failure,44.3,156,298.9,310.1,1458,1,Low Risk,156,298.9,310.1,1458.0,156,44.3,8713,40
H39136,H,No Failure,21.6,126,298.8,309.8,1911,1,Low Risk,126,298.8,309.8,1911.0,126,21.6,8714,41
H39130,H,No Failure,45.2,110,299.0,310.0,1387,0,Low Risk,110,299.0,310.0,1387.0,110,45.2,8715,42
H39125,H,No Failure,42.9,96,299.1,310.1,1429,0,Low Risk,96,299.1,310.1,1429.0,96,42.9,8716,43
H39098,H,No Failure,51.0,32,298.9,309.9,1376,1,Low Risk,32,298.9,309.9,1376.0,32,51.0,8717,44
H39086,H,No Failure,31.5,0,299.0,310.2,1744,1,Low Risk,0,299.0,310.2,1744.0,0,31.5,8718,45
H39075,H,No Failure,44.9,221,299.0,310.0,1458,1,Low Risk,221,299.0,310.0,1458.0,221,44.9,8719,46
H39069,H,No Failure,49.5,205,299.1,310.0,1431,1,Low Risk,205,299.1,310.0,1431.0,205,49.5,8720,47
H39063,H,No Failure,33.1,187,299.1,310.0,1657,2,Low Risk,187,299.1,310.0,1657.0,187,33.1,8721,48
H39052,H,No Failure,44.9,162,299.3,310.4,1393,1,Low Risk,162,299.3,310.4,1393.0,162,44.9,8722,49
H39047,H,No Failure,41.2,149,299.1,310.1,1421,0,Low Risk,149,299.1,310.1,1421.0,149,41.2,8723,50
H39043,H,No Failure,19.7,137,299.0,310.1,2053,1,Low Risk,137,299.0,310.1,2053.0,137,19.7,8724,51
H39042,H,No Failure,34.3,132,299.0,310.0,1569,0,Low Risk,132,299.0,310.0,1569.0,132,34.3,8725,52
H39038,H,No Failure,38.6,118,299.0,310.1,1555,0,Low Risk,118,299.0,310.1,1555.0,118,38.6,8726,53
H39018,H,No Failure,38.0,68,299.0,310.2,1637,1,Low Risk,68,299.0,310.2,1637.0,68,38.0,8727,54
H39009,H,No Failure,50.0,45,299.0,310.1,1432,0,Low Risk,45,299.0,310.1,1432.0,45,50.0,8728,55
H39002,H,No Failure,45.5,27,299.3,310.4,1510,0,Low Risk,27,299.3,310.4,1510.0,27,45.5,8729,56
H38988,H,No Failure,46.6,197,299.7,310.8,1418,1,Low Risk,197,299.7,310.8,1418.0,197,46.6,8730,57
H38969,H,No Failure,31.4,149,299.4,310.8,1585,0,Low Risk,149,299.4,310.8,1585.0,149,31.4,8731,58
H38944,H,No Failure,53.6,86,299.1,310.4,1405,1,Low Risk,86,299.1,310.4,1405.0,86,53.6,8732,59
H38938,H,No Failure,27.6,69,299.0,310.3,1658,1,Low Risk,69,299.0,310.3,1658.0,69,27.6,8733,60
