company_name,establishment_name,state,naics_code,industry_description,size,employees,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases,risk_score,normalized_risk,injury_rate,fatality_rate,severity_load,lost_time_index,industry_avg_risk,risk_z_score,risk_category
Domino's Pizza LLC,South Texas - SCC,TX,493120,Refrigerated warehousing,22,186.0,2,0,1,1,555561.17,2986888.01,10.75,0.0,2,55555567,536.88,32.53,CRITICAL OUTLIER
"Hodo, Inc.","Hodo, Inc.",CA,311991,,22,1.0,10,0,9,1,31.26,31260.0,10000.0,0.0,10,176,24.39,0.17,NORMAL RISK
NYC Health Hospitals,NYC Health Hospitals Gouverneur Skilled Nursing,NY,623110,Nursing Facility,1,2.0,14,0,14,0,56.87,28435.0,7000.0,0.0,14,1487,13.46,2.49,HIGH RISK OUTLIER
Department of Homeless Services,Franklin Women Shelter,NY,923130,Community social service program administration,1,1.0,6,0,6,0,25.27,25270.0,6000.0,0.0,6,727,4.07,1.74,ABOVE AVERAGE RISK
Zuma and Sons Distributors,ZUMA AND SONS DISTRIBUTORS CORPORATION,FL,424450,Confectionery merchant wholesalers,22,133.0,7,0,3,3,3038.08,22842.71,52.63,0.0,6,302058,5.29,33.61,CRITICAL OUTLIER
City of Woodbury,City of Woodbury - Public Safety - Police,MN,922120,Police departments (except American Indian or Alaska Native),21,93.0,7,0,6,1,1727.44,18574.62,75.27,0.0,7,170694,30.26,18.83,CRITICAL OUTLIER
CenCal Delivery LLC,CenCal Delivery LLC,CA,492110,Couriers and Express Delivery Services,1,1.0,12,0,1,2,17.51,17510.0,12000.0,0.0,3,51,32.44,-0.21,NORMAL RISK
HDG Hotels LLC,Holiday Inn Brandon,FL,721110,Hotels (except casino hotels),21,26.0,3,0,2,0,444.07,17079.62,115.38,0.0,2,43707,8.52,19.51,CRITICAL OUTLIER
Goodwill Industries of Central Michigans Heartland,Mason Store,MI,459510,Thrift Shop,1,16.0,106,0,0,106,265.07,16566.88,6625.0,0.0,106,7,4.12,15.69,CRITICAL OUTLIER
DHS,Ana's Place,NY,923130,Community social service program administration,1,1.0,3,0,5,0,14.94,14940.0,3000.0,0.0,5,194,4.07,0.89,NORMAL RISK
AAA Concrete,AAA Concrete,WA,327320,Central-mixed concrete manufacturing,21,76.0,4,0,2,0,1107.06,14566.58,52.63,0.0,2,109906,4.37,33.19,CRITICAL OUTLIER
US Postal Service,GRAVOIS_1365462,MO,491110,Mail and Parcel Delivery,1,2.0,11,0,1,9,29.1,14550.0,5500.0,0.0,10,260,9.91,1.25,ABOVE AVERAGE RISK
Acadia Healthcare Management Company Inc,Geisinger Behavioral Health CenterNortheast,PA,622210,Outpatient mental health and substance abuse centers,1,3.0,21,0,3,7,41.48,13826.67,7000.0,0.0,10,398,26.75,0.18,NORMAL RISK
US Postal Service,HAMTRAMCK_1437858,MI,491110,Mail and Parcel Delivery,1,2.0,9,0,4,5,26.66,13330.0,4500.0,0.0,9,216,9.91,1.09,ABOVE AVERAGE RISK
US Postal Service,DOWNTOWN NORTHBROOK_1375495,IL,491110,Mail and Parcel Delivery,1,1.0,5,0,3,1,13.24,13240.0,5000.0,0.0,4,74,9.91,0.22,NORMAL RISK
"Fuse Fabrication, LLC","Fuse Fabrication, LLC",FL,238190,"Welding, on site, contractors",21,1.0,7,0,3,0,13.06,13060.0,7000.0,0.0,3,6,4.08,0.84,NORMAL RISK
Department of Homeless Services,Jerome Avenue Shelter,NY,923130,Community social service program administration,1,1.0,3,0,3,0,12.63,12630.0,3000.0,0.0,3,363,4.07,0.7,NORMAL RISK
First Student,20185 Naperville,IL,485410,"Bus operation, school and employee",3,381.0,6,0,5,1,4754.48,12478.95,15.75,0.0,6,473698,10.44,34.49,CRITICAL OUTLIER
US Postal Service,BERLIN_1354745,MD,491110,Mail and Parcel Delivery,1,1.0,5,0,3,0,11.87,11870.0,5000.0,0.0,3,87,9.91,0.13,NORMAL RISK
Alliance Interiors,Alliance Interiors,MI,336360,"Seats for public conveyances, manufacturing",22,4.0,19,0,3,12,47.47,11867.5,4750.0,0.0,15,447,21.24,0.71,NORMAL RISK
CrossCountry Freight Solutions,LAS,NV,484110,General Freight Trucking,1,1.0,4,0,2,2,11.3,11300.0,4000.0,0.0,4,30,7.49,0.32,NORMAL RISK
Marriott Internation,Torrance Marriott Redondo Beach,CA,721110,"Hotels, resort, without casinos",22,4.0,16,0,10,1,43.07,10767.5,4000.0,0.0,11,557,8.52,1.55,ABOVE AVERAGE RISK
US Postal Service,MARCUS HOOK_1371809,PA,491110,Mail and Parcel Delivery,1,1.0,3,0,3,0,10.42,10420.0,3000.0,0.0,3,142,9.91,0.03,NORMAL RISK
CrossCountry Freight Solutions,PUB,CO,484110,General Freight Trucking,1,1.0,4,0,2,1,10.32,10320.0,4000.0,0.0,3,82,7.49,0.24,NORMAL RISK
US Postal Service,VAIL_1385618,AZ,491110,Mail and Parcel Delivery,1,1.0,3,0,2,1,10.13,10130.0,3000.0,0.0,3,163,9.91,0.01,NORMAL RISK
Haisch Construction Company Inc.,Systems Plus Lumber Co. Inc.,CA,321214,"Floor trusses, wood, manufacturing",21,1.0,8,0,1,0,10.05,10050.0,8000.0,0.0,1,5,9.99,0.0,NORMAL RISK
US Postal Service,HOMEWOOD_1367313,IL,491110,Mail and Parcel Delivery,1,1.0,3,0,2,1,9.91,9910.0,3000.0,0.0,3,141,9.91,0.0,NORMAL RISK
Juzt Construction Inc.,Juzt Construction Inc.,AZ,238130,"Carpentry, framing",21,1.0,6,0,1,1,9.78,9780.0,6000.0,0.0,2,28,9.87,-0.0,NORMAL RISK
US Postal Service,FORT LEAVENWORTH_1435559,KS,491110,Mail and Parcel Delivery,1,1.0,4,0,1,2,9.54,9540.0,4000.0,0.0,3,54,9.91,-0.02,NORMAL RISK
US Postal Service,CONSHOHOCKEN_1358961,PA,491110,Mail and Parcel Delivery,1,2.0,6,0,5,1,18.86,9430.0,3000.0,0.0,6,136,9.91,0.58,NORMAL RISK
"SBE Electrical Contracting, Inc.","SBE Electrical Contracting, Inc.",CA,238210,Electric contracting,22,4.0,13,0,5,7,37.18,9295.0,3250.0,0.0,12,368,4.16,3.43,CRITICAL OUTLIER
US Postal Service,FLANAGAN_1363475,IL,491110,Mail and Parcel Delivery,1,1.0,3,0,3,0,9.21,9210.0,3000.0,0.0,3,21,9.91,-0.05,NORMAL RISK
Unifi Aviation LLC,Unifi Aviation Services New York,NY,488119,Support Activities for Air Transportation,21,20.0,52,0,51,1,183.51,9175.5,2600.0,0.0,52,2801,12.82,5.31,CRITICAL OUTLIER
US Postal Service,HOLCOMB_1367164,MS,491110,Mail and Parcel Delivery,1,1.0,2,1,1,0,9.16,9160.0,2000.0,1000.0,6,16,9.91,-0.05,NORMAL RISK
S2C Management LLC,Republic,TX,531110,Residential Property Management,21,1.0,3,0,3,0,9.09,9090.0,3000.0,0.0,3,9,2.34,0.83,NORMAL RISK
Coos Bay School District,Madison,OR,611110,Elementary and secondary schools,21,3.0,9,0,6,3,27.06,9020.0,3000.0,0.0,9,156,8.46,0.52,NORMAL RISK
US Postal Service,NEW BRUNSWICK_1433617,NJ,491110,Mail and Parcel Delivery,1,2.0,4,0,6,0,17.76,8880.0,2000.0,0.0,6,176,9.91,0.51,NORMAL RISK
US Postal Service,NORTH ATLANTA_1452964,GA,491110,Mail and Parcel Delivery,1,1.0,3,0,1,2,8.76,8760.0,3000.0,0.0,3,76,9.91,-0.08,NORMAL RISK
Encore Countryside Manor West,Encore Countryside Manor West,WI,623311,Assisted-living facilities with on-site nursing facilities,21,2.0,5,0,1,4,17.41,8705.0,2500.0,0.0,5,441,11.23,0.31,NORMAL RISK
Prolink Staffing Services LLC,Cleveland Operations,OH,561311,,1,1.0,4,0,2,0,8.65,8650.0,4000.0,0.0,2,65,10.1,-0.04,NORMAL RISK
US Postal Service,CROWN POINT_1359934,IN,491110,Mail and Parcel Delivery,1,3.0,8,0,6,1,25.06,8353.33,2666.67,0.0,7,356,9.91,0.99,NORMAL RISK
US Postal Service,LUCERNEMINES_1371127,PA,491110,Mail and Parcel Delivery,1,1.0,2,0,2,0,8.33,8330.0,2000.0,0.0,2,233,9.91,-0.1,NORMAL RISK
VISION SCENERY,VISION SCENERY,CA,236220,Theater construction,2,130.0,21,0,2,12,1061.84,8168.0,161.54,0.0,14,101884,3.15,62.56,CRITICAL OUTLIER
Ilum Solar,Ilum Solar -Bakersfield,CA,238210,Electrical contractors,21,1.0,6,0,1,0,8.14,8140.0,6000.0,0.0,1,14,4.16,0.41,NORMAL RISK
Action Property Management,Pacific Gate,CA,531311,Residential property managing,1,1.0,1,0,1,0,8.13,8130.0,1000.0,0.0,1,513,1.79,0.78,NORMAL RISK
"Bone Dry Roofing Florida, Inc.",BDRFL-SarasotaSouth,FL,238160,Asphalt roof shingle installation,1,1.0,4,0,2,0,8.11,8110.0,4000.0,0.0,2,11,4.51,0.45,NORMAL RISK
ROLLING FRITO LAY SALES,FARGO   EmpWorkCtrCd 30001156,ND,424450,Confectionery Merchant Wholesalers,1,1.0,2,0,2,0,7.84,7840.0,2000.0,0.0,2,184,5.29,0.03,NORMAL RISK
Municipality of Anchorage,MOA Fire Department Fire Training Center,AK,922160,"Firefighting (except forest), government and volunteer (except private)",1,4.0,9,0,7,2,31.27,7817.5,2250.0,0.0,9,527,19.65,0.18,NORMAL RISK
CrossCountry Freight Solutions,GFK,ND,484110,General Freight Trucking,1,1.0,3,0,1,1,7.7,7700.0,3000.0,0.0,2,120,7.49,0.02,NORMAL RISK
Resorts at Beaufort,Resorts at Beaufort,SC,623110,Nursing homes,22,9.0,4,0,31,0,68.83,7647.78,444.44,0.0,31,283,13.46,3.17,CRITICAL OUTLIER
S2C Management LLC,The Branch,TX,531110,Residential Property Management,21,1.0,3,0,1,1,7.58,7580.0,3000.0,0.0,2,108,2.34,0.65,NORMAL RISK
Shawano Place,Shawano Place,WI,623311,"Retirement communities, continuing care",21,1.0,2,0,1,1,7.47,7470.0,2000.0,0.0,2,197,11.23,-0.19,NORMAL RISK
US Postal Service,TUCKERTON_1385110,NJ,491110,Mail and Parcel Delivery,1,1.0,2,0,2,0,7.35,7350.0,2000.0,0.0,2,135,9.91,-0.17,NORMAL RISK
CrossCountry Freight Solutions,MSO,MT,484110,General Freight Trucking,1,1.0,2,0,1,1,7.26,7260.0,2000.0,0.0,2,176,7.49,-0.02,NORMAL RISK
CrossCountry Freight Solutions,MOT,ND,484110,General Freight Trucking,1,1.0,2,0,1,1,7.24,7240.0,2000.0,0.0,2,174,7.49,-0.02,NORMAL RISK
Department of Homeless Services,C.Gay ( Help SEC/Keener/Clark Thomas/Meyer),NY,923130,Community social service program administration,1,2.0,4,0,4,0,14.15,7075.0,2000.0,0.0,4,215,4.07,0.83,NORMAL RISK
US Postal Service,FINLAYSON_1363396,MN,491110,Mail and Parcel Delivery,1,1.0,2,0,2,0,6.99,6990.0,2000.0,0.0,2,99,9.91,-0.19,NORMAL RISK
City of Corona,Fire Station 2,CA,922160,"Fire departments (e.g., government, volunteer (except private))",1,4.0,8,0,8,0,27.31,6827.5,2000.0,0.0,8,331,19.65,0.12,NORMAL RISK
University Hospitals,Bedford Medical Center,OH,622110,General medical and surgical hospitals,1,1.0,3,0,1,0,6.8,6800.0,3000.0,0.0,1,180,80.37,-0.48,NORMAL RISK
CrossCountry Freight Solutions,SLC,UT,484110,General Freight Trucking,21,3.0,7,0,4,2,19.51,6503.33,2333.33,0.0,6,151,7.49,1.02,ABOVE AVERAGE RISK
Alta Drywall,Innovative Wall Systems Inc.,CA,238310,Drywall,3,9.0,23,0,0,23,58.41,6490.0,2555.56,0.0,23,91,5.51,3.94,CRITICAL OUTLIER
CrossCountry Freight Solutions,ABQ,NM,484110,General Freight Trucking,21,1.0,3,0,0,2,6.37,6370.0,3000.0,0.0,2,37,7.49,-0.1,NORMAL RISK
LANG BUILDING SUPPLY,Main location,GA,444190,Building materials supply dealers,21,1.0,2,0,2,0,6.28,6280.0,2000.0,0.0,2,28,3.94,0.36,NORMAL RISK
DESC,Crisis Solutions Center,WA,624221,Homeless shelters,2,17.0,13,0,36,8,105.68,6216.47,764.71,0.0,44,868,12.5,3.37,CRITICAL OUTLIER
